--- SUMMARY ---
Metric,Value
Risk Score,78.9
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,Bello; Robledo; Envigado; Itagüí; Belén

--- ZONE RISKS ---
Zone,Risk Score
Bello,89
Robledo,75
Itagüí,63
Envigado,63
Belén,61
Copacabana,57
La Estrella,57
Poblado,54
Girardota,54
Manrique,52
Aranjuez,52
Caldas,52
La Candelaria,50
Barbosa,50
San Javier,49
Villa Hermosa,49
La América,49
Castilla,49
Doce de Octubre,49
Buenos Aires,49
Guayabal,49
Sabaneta,49

--- EVIDENCE LOG ---
Date,Headline,Source,Relevance
2025-01-01,Los 12 'peces gordos' del crimen organizado de Medellín capturados en lo corrido de 2025; estos son sus prontuarios,metropolisfm.com.co,0.95
2025-12-02,Capturado 'Care Vieja', cabecilla urbano de la subestructura Edwin Román del Clan del Golfo, en el occidente de Antioquia,www.alertapaisa.com,0.9
2025-12-02,Cayó alias Care Vieja, cabecilla del Clan del Golfo, responsable de ataques contra la Fuerza Pública en Antioquia,www.elcolombiano.com,0.9
2025-11-27,Revelan conversación entre ‘Chiquito Malo’ y ‘Gonzalito’, máximos cabecillas del Clan del Golfo, cuestionando al Gobierno Petro: “Les duele más la muerte de un guerrillero”,www.infobae.com,0.9
2025-11-26,Fuerte golpe contra el Clan del Golfo: 10 capturados y poderoso arsenal incautado,focusnoticias.com,0.9
2025-11-26,Fuerte golpe contra el Clan del Golfo: 10 capturados y poderoso arsenal incautado,focusnoticias.com,0.9
2025-11-18,Preocupante: Medellín superó los 300 homicidios en el 2025, 17 casos más que en 2024,www.bluradio.com,0.9
2025-11-18,Asesinan a cabecilla de La Oficina de Envigado en un restaurante,www.publimetro.co,0.9
2025-08-13,“Habría mandado a quemar vivo a un conductor que se negó a pagar extorsión”: graves señalamientos a presunto capo de una banda de Itagüí,www.semana.com,0.9
2025-07-27,Duro golpe al Clan del Golfo en Antioquia: siete personas fueron capturadas e incautan un arsenal de guerra,www.infobae.com,0.9
2025-07-26,Cayó alias Mono, cabecilla del Clan del Golfo responsable del secuestro y tortura de dos militares en Tarazá, Antioquia,www.infobae.com,0.9
2025-07-20,Imputan a ‘Matías’, poderoso cabecilla de Los Chatas: coordinaba extorsiones y secuestros en el Valle de Aburrá,www.infobae.com,0.9
