--- SUMMARY ---
Metric,Value
Risk Score,81
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,San Javier

--- ZONE RISKS ---
Zone,Risk Score

--- EVIDENCE LOG ---
Date,Headline,Source,Relevance
2025-04-05,Presidente Petro confirma muerte de un cabecilla del Clan del Golfo: Así era alias Chirimoya,colombia.as.com,0.9
2024-12-02,Se entregó el hijo de ‘Douglas’, jefe de La Oficina que denunció presuntas reuniones secretas con Federico Gutiérrez cuando fue alcalde,www.infobae.com,0.9
2024-12-02,Por qué capturaron y luego liberaron a sospechoso de asesinar a ‘Pichi Gordo’, cabecilla de La Terraza,www.infobae.com,0.9
2024-12-02,Cabecilla,www.elcolombiano.com,0.9
2024-12-02,Policía abatió a alias Chirimoya, quinto cabecilla en la línea de mando del Clan del Golfo,www.elcolombiano.com,0.9
2024-12-02,Cayó en Medellín importante cabecilla del Clan del Golfo: así fue su captura,www.infobae.com,0.9
2024-12-02,Cártel del Golfo,es.wikipedia.org,0.9
2024-12-02,Tres peligrosos hombres del Clan del Golfo fueron capturados en el Bajo Cauca,coosmovision.com,0.9
2024-12-02,Fue capturado alias Pipe cabecilla del grupo delincuencial ‘Los Chatas’,www.infobae.com,0.9
2024-12-02,Los Chatas | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-12-02,Golpe a los jíbaros carceleros de "la Terraza",www.elcolombiano.com,0.9
2024-12-02,Capturaron en Medellín a dos cabecillas de los Triana: la peligrosa banda dedicada a la extorsión y el hurto,www.infobae.com,0.9
2024-12-02,Medellín: Capturan a alias 'El Flaco', presunto cabecilla de la banda 'Los Pachelly',caracol.com.co,0.9
2024-12-02,Duro golpe al crimen en Medellín y Bello: capturaron a 'Raúl', presunto cabecilla de 'Los Triana',www.elcolombiano.com,0.9
2024-12-02,Capturan a cabecilla y presunta lavadora de activos de Los Triana en Medellín,www.bluradio.com,0.9
2024-12-02,Medellín: 13 homicidios en 24 horas, la mayoría en la Comuna 13,telemedellin.tv,0.9
2024-12-02,Clan del Golfo,es.wikipedia.org,0.9
2024-12-02,Medellín registra 1.200 homicidios en 2024, con aumento en extorsiones y secuestros,telemedellin.tv,0.9
2024-12-02,Brutal secuestro en el Urabá antioqueño: Policías fueron desnudados y golpeados por 12 horas,www.alertapaisa.com,0.9
