ID,Date,Source,Type,Headline,Relevance Score,URL
ai_0,2025-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Cayó alias Care Vieja, cabecilla del Clan del Golfo, responsable de ataques contra la Fuerza Pública en Antioquia",0.900,https://www.elcolombiano.com/antioquia/cayo-alias-care-vieja-cabecilla-clan-golfo-ataques-fuerza-publica-BC31444500
ai_1,2025-11-26,focusnoticias.com,TRIGGER_EVENT,"Fuerte golpe contra el Clan del Golfo: 10 capturados y poderoso arsenal incautado",0.900,https://focusnoticias.com/fuerte-golpe-contra-el-clan-del-golfo/
ai_2,2025-11-26,focusnoticias.com,TRIGGER_EVENT,"Fuerte golpe contra el Clan del Golfo: 10 capturados y poderoso arsenal incautado",0.900,https://focusnoticias.com/fuerte-golpe-contra-el-clan-del-golfo/
ai_3,2025-04-05,noticiaselboom.com,TRIGGER_EVENT,"Abatido alias ‘Chirimoya’, quinto cabecilla en la línea de mando del Clan del Golfo",0.900,https://noticiaselboom.com/abatido-alias-chirimoya-quinto-cabecilla-en-la-linea-de-mando-del-clan-del-golfo/
ai_4,2025-01-01,metropolisfm.com.co,CRIME_STAT,"Los 12 'peces gordos' del crimen organizado de Medellín capturados en lo corrido de 2025; estos son sus prontuarios",0.900,https://metropolisfm.com.co/los-12-peces-gordos-del-crimen-organizado-de-medellin-capturados-en-lo-corrido-de-2025-estos-son-sus-prontuarios/
ai_5,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Capturan a alias Piña, presunto cabecilla del Clan del Golfo, señalado de coordinar ataques y delitos en el Caribe",0.900,https://www.infobae.com/colombia/2025/11/30/capturan-a-alias-pina-presunto-cabecilla-del-clan-del-golfo-senalado-de-coordinar-ataques-y-delitos-en-el-caribe/
ai_6,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín: Capturan a presunto cabecilla de 'La Oficina' en la comuna 13",0.900,https://caracol.com.co/2025/12/01/contundente-golpe-al-clan-del-golfo-en-la-region-caribe-con-la-captura-de-alias-pina/
ai_7,2024-12-02,www.policia.gov.co,TRIGGER_EVENT,"Capturan a segundo cabecilla del Clan del Golfo en Antioquia",0.900,https://www.policia.gov.co/noticia/capturado-segundo-cabecilla-del-clan-del-golfo-en-carepa-antioquia
ai_8,2024-12-02,es.wikipedia.org,CRIME_STAT,"Oficina de Envigado",0.900,https://es.wikipedia.org/wiki/Oficina_de_Envigado
ai_9,2024-12-02,www.elcolombiano.com,CRIME_STAT,"La Oficina | Revelaciones del bajo mundo",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/crimen/la-oficina
ai_10,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Integrantes de Los Chatas a la cárcel: serían los culpables de homicidio y tráfico de estupefacientes",0.900,https://www.infobae.com/colombia/2025/06/18/integrantes-de-los-chatas-a-la-carcel-serian-los-culpables-de-homicidio-y-trafico-de-estupefacientes/
ai_11,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Imputan a ‘Matías’, poderoso cabecilla de Los Chatas: coordinaba extorsiones y secuestros en el Valle de Aburrá",0.900,https://www.infobae.com/colombia/2025/07/20/imputan-a-matias-poderoso-cabecilla-de-los-chatas-coordinaba-extorsiones-a-comerciantes-transportadores-y-constructoras-en-el-valle-de-aburra/
ai_12,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín: Capturan a presunto cabecilla de la banda 'Los Pachelly' en operativo policial",0.900,https://caracol.com.co/2025/07/17/carcel-para-alias-matias-cabecilla-de-los-chatas-implicado-en-secuestros-y-extorsiones/
ai_13,2024-12-02,telemedellin.tv,CRIME_STAT,"Medellín registra 1.200 homicidios en 2024, con aumento en comunas del nororiente",0.900,https://telemedellin.tv/capturados-integrantes-los-chatas/
ai_14,2024-12-02,www.elcanal.co,CRIME_STAT,"Medellín: 13 homicidios en 24 horas, la cifra más alta en lo que va del año",0.900,https://www.elcanal.co/justicia/homicidios-en-medellin-suben-16-en-2025-223-frente-a-193-de-2024/
ai_15,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Golpe a Los Pachelly: 17 miembros fueron capturados por cobrar extorsiones en Antioquia",0.900,https://www.infobae.com/colombia/2024/07/13/golpe-a-los-pachelly-17-miembros-fueron-capturados-por-cobrar-extorsiones-en-antioquia/
ai_16,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Capturaron en Medellín a dos cabecillas de los Triana: la peligrosa banda dedicada a la extorsión y el hurto",0.900,https://www.infobae.com/colombia/2024/06/24/autoridades-en-medellin-capturaron-a-dos-cabecillas-de-banda-dedicada-a-la-extorsion-y-hurto/
ai_17,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín: Capturan a presunto cabecilla de banda criminal 'Los Pachelly'",0.900,https://caracol.com.co/2025/07/01/doce-cabecillas-del-crimen-organizado-han-sido-capturados-en-medellin-en-lo-que-va-de-2025/
ai_18,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Policía abatió a alias Chirimoya, quinto cabecilla en la línea de mando del Clan del Golfo",0.900,https://www.elcolombiano.com/colombia/abatieron-alias-chirimoya-cabecilla-clan-del-golfo-JB27045693
ai_19,2024-12-02,www.wradio.com.co,TRIGGER_EVENT,"Medellín: Capturan a presunto cabecilla de 'La Oficina' en Robledo",0.900,https://www.wradio.com.co/2025/04/05/fue-abatido-alias-chirimoya-quinto-cabecilla-en-la-linea-de-mando-del-clan-del-golfo/
ai_20,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín: Capturan a presunto cabecilla de 'La Oficina' en la comuna 13",0.900,https://caracol.com.co/2025/09/02/capturan-en-medellin-a-20-integrantes-de-la-banda-criminal-los-caicedo-senalada-de-extorsiones/
ai_21,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Asesinaron a alias Adiel, considerado el jefe histórico de la banda La Terraza en Medellín",0.900,https://www.infobae.com/colombia/2025/05/20/asesinan-alias-adiel-considerado-el-jefe-historico-de-la-banda-la-terraza-en-medellin/
ai_22,2024-12-02,revistaraya.com,TRIGGER_EVENT,"Alias “Terror”: el jefe del Clan del Golfo que hizo campaña con el alcalde de Puerto Triunfo y ficha",0.900,https://revistaraya.com/quien-era-alias-terror-alcalde-de-puerto-triunfo-admite-encuentro-con-el-exjefe-del-clan-del-golfo-durante-su-campana.html
ai_23,2024-12-02,casadelasestrategias.com,CRIME_STAT,"Medellín registra 1.200 homicidios en 2024, con aumento en comunas del nororiente",0.900,https://casadelasestrategias.com/capsula-analisis-de-homicidios-2024-ii/
