ID,Date,Source,Type,Headline,Relevance Score,URL
ai_0,2025-04-05,colombia.as.com,TRIGGER_EVENT,"Presidente Petro confirma muerte de un cabecilla del Clan del Golfo: Así era alias Chirimoya",0.900,https://colombia.as.com/actualidad/presidente-petro-confirma-muerte-de-un-cabecilla-del-clan-del-golfo-asi-era-alias-chirimoya-n/
ai_1,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Se entregó el hijo de ‘Douglas’, jefe de La Oficina que denunció presuntas reuniones secretas con Federico Gutiérrez cuando fue alcalde",0.900,https://www.infobae.com/colombia/2025/07/17/se-entrego-el-hijo-de-douglas-jefe-de-la-oficina-que-denuncio-presuntas-reuniones-secretas-con-federico-gutierrez-cuando-fue-alcalde/
ai_2,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Por qué capturaron y luego liberaron a sospechoso de asesinar a ‘Pichi Gordo’, cabecilla de La Terraza",0.900,https://www.infobae.com/colombia/2024/07/03/capturaron-y-luego-dejaron-libre-a-sospechoso-del-asesinato-de-pichi-gordo/
ai_3,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Cabecilla",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/crimen/cabecilla
ai_4,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Policía abatió a alias Chirimoya, quinto cabecilla en la línea de mando del Clan del Golfo",0.900,https://www.elcolombiano.com/colombia/abatieron-alias-chirimoya-cabecilla-clan-del-golfo-JB27045693
ai_5,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Cayó en Medellín importante cabecilla del Clan del Golfo: así fue su captura",0.900,https://www.infobae.com/colombia/2023/09/29/cayo-en-medellin-importante-cabecilla-del-clan-del-golfo-asi-fue-su-captura/
ai_6,2024-12-02,es.wikipedia.org,CRIME_STAT,"Cártel del Golfo",0.900,https://es.wikipedia.org/wiki/C%C3%A1rtel_del_Golfo
ai_7,2024-12-02,coosmovision.com,TRIGGER_EVENT,"Tres peligrosos hombres del Clan del Golfo fueron capturados en el Bajo Cauca",0.900,https://coosmovision.com/tres-peligrosos-hombres-del-clan-del-golfo-fueron-capturados-en-el-bajo-cauca/37/
ai_8,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Fue capturado alias Pipe cabecilla del grupo delincuencial ‘Los Chatas’",0.900,https://www.infobae.com/colombia/2024/04/07/fue-capturado-alias-pipe-cabecilla-del-grupo-delincuencial-los-chatas/
ai_9,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Los Chatas | Revelaciones del bajo mundo",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/crimen/los-chatas
