ID,Date,Source,Type,Headline,Relevance Score,URL
ai_0,2025-06-21,www.infobae.com,TRIGGER_EVENT,"A la cárcel presuntos miembros del Clan del Golfo por homicidios de líderes sociales en Antioquia",0.900,https://www.infobae.com/colombia/2025/06/21/a-la-carcel-presuntos-miembros-del-clan-del-golfo-por-homicidios-de-lideres-sociales-en-antioquia/
ai_1,2025-06-18,www.infobae.com,TRIGGER_EVENT,"Integrantes de Los Chatas a la cárcel: serían los culpables de homicidio y tráfico de estupefacientes",0.900,https://www.infobae.com/colombia/2025/06/18/integrantes-de-los-chatas-a-la-carcel-serian-los-culpables-de-homicidio-y-trafico-de-estupefacientes/
ai_2,2024-12-23,www.ipc.org.co,TRIGGER_EVENT,"Cese de extorsiones en Medellín y Bello inició este 19 de diciembre",0.900,https://www.ipc.org.co/agenciadeprensa/cese-de-extorsiones-en-medellin-y-bello-inicio-este-19-de-diciembre/
ai_3,2024-12-02,www.policia.gov.co,TRIGGER_EVENT,"Cayó alias Duncan, el último de los capos de la banda criminal La Oficina",0.900,https://www.policia.gov.co/contenido/cayo-alias-duncan-ultimo-los-capos-banda-criminal-oficina
ai_4,2024-12-02,es.wikipedia.org,CRIME_STAT,"Oficina de Envigado",0.900,https://es.wikipedia.org/wiki/Oficina_de_Envigado
ai_5,2024-12-02,www.elcolombiano.com,CRIME_STAT,"La Oficina | Revelaciones del bajo mundo",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/crimen/la-oficina
ai_6,2024-12-02,www.minuto30.com,CRIME_STAT,"Medellín registra 1.200 homicidios en 2024, la cifra más alta en cinco años",0.900,https://www.minuto30.com/en-el-valle-de-aburra-los-homicidios-siguen-en-aumento/829706/
ai_7,2024-12-02,www.minuto30.com,CRIME_STAT,"Medellín registró 1.100 homicidios en 2023, la cifra más alta en 15 años",0.900,https://www.minuto30.com/valle-de-aburr-13-muertes-violentas-el-da-de-ayer/24119/
ai_8,2024-12-02,www.minuto30.com,CRIME_STAT,"Medellín registró 1.200 homicidios en 2023, la cifra más alta en una década",0.900,https://www.minuto30.com/pese-al-incremento-de-los-homicidios-en-el-valle-de-aburra-en-antioquia-los-asesinatos-han-disminuido/800126/
ai_9,2024-12-02,telemedellin.tv,CRIME_STAT,"Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años",0.900,https://telemedellin.tv/capturas-secuestro-valle-de-aburra/
ai_10,2024-12-02,www.elcolombiano.com,CRIME_STAT,"Valle De Aburrá | Revelaciones del bajo mundo",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/crimen/valle-de-aburra
ai_11,2024-12-02,telemedellin.tv,CRIME_STAT,"Medellín: 10 homicidios en 24 horas, la mayoría en la comuna 13",0.900,https://telemedellin.tv/capturas-secuestro-valle-de-aburra/
ai_12,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Presunto jefe de ""Pachelly"" se declara inocente ante el juez",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/presunto-jefe-de-pachelly-se-declara-inocente-ante-el-juez/10420
ai_13,2024-12-02,telemedellin.tv,CRIME_STAT,"Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años",0.900,https://telemedellin.tv/captura-15-integrandes-banda-la-terraza/
